image,label
manipulated_sequences/Deepfakes/c40/images/001_870/0.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/120.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/150.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/181.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/243.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/27.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/274.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/366.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/397.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/428.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/459.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/58.jpg,1
manipulated_sequences/Deepfakes/c40/images/001_870/89.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/134.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/181.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/227.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/274.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/320.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/41.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/413.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/459.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/506.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/552.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/599.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/692.jpg,1
manipulated_sequences/Deepfakes/c40/images/002_006/88.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/0.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/100.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/177.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/203.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/23.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/280.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/306.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/384.jpg,1
manipulated_sequences/Deepfakes/c40/images/005_010/48.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/0.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/101.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/143.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/163.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/18.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/184.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/205.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/226.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/246.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/267.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/309.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/39.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/60.jpg,1
manipulated_sequences/Deepfakes/c40/images/006_002/80.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/0.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/131.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/165.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/30.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/301.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/334.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/368.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/402.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/436.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/470.jpg,1
manipulated_sequences/Deepfakes/c40/images/007_132/64.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/123.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/209.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/294.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/38.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/422.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/465.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/507.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/550.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/593.jpg,1
manipulated_sequences/Deepfakes/c40/images/008_990/81.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/0.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/114.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/153.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/193.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/232.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/311.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/35.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/350.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/390.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/468.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/508.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/547.jpg,1
manipulated_sequences/Deepfakes/c40/images/009_027/74.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/123.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/155.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/187.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/219.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/250.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/282.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/314.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/346.jpg,1
manipulated_sequences/Deepfakes/c40/images/010_005/377.jpg,1
